Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Mason County,2017,Fourth Quarter,29,124,-6.8,751,0.7,Natural Resources and Mining,48319,TX
Matagorda County,2017,Fourth Quarter,113,706,2.8,1060,20,Natural Resources and Mining,48321,TX
Maverick County,2017,Fourth Quarter,30,403,7.8,795,-25.5,Natural Resources and Mining,48323,TX
Medina County,2017,Fourth Quarter,102,674,20.4,965,17.1,Natural Resources and Mining,48325,TX
Menard County,2017,Fourth Quarter,8,20,11.1,739,-3.7,Natural Resources and Mining,48327,TX
Midland County,2017,Fourth Quarter,929,24600,26.1,2022,-7.8,Natural Resources and Mining,48329,TX
Milam County,2017,Fourth Quarter,47,203,-4.7,952,2.1,Natural Resources and Mining,48331,TX
Mills County,2017,Fourth Quarter,15,86,-9.5,541,2.1,Natural Resources and Mining,48333,TX
Mitchell County,2017,Fourth Quarter,38,282,0.7,1077,7.6,Natural Resources and Mining,48335,TX
Montague County,2017,Fourth Quarter,59,641,4.1,1381,20.3,Natural Resources and Mining,48337,TX
Montgomery County,2017,Fourth Quarter,272,4747,2.1,2560,3.1,Natural Resources and Mining,48339,TX
Moore County,2017,Fourth Quarter,85,1151,12.4,1130,4.1,Natural Resources and Mining,48341,TX
Morris County,2017,Fourth Quarter,8,31,-11.4,637,1.1,Natural Resources and Mining,48343,TX
Motley County,2017,Fourth Quarter,11,56,-12.5,621,-10.1,Natural Resources and Mining,48345,TX
Nacogdoches County,2017,Fourth Quarter,71,451,9.2,871,3.6,Natural Resources and Mining,48347,TX
Navarro County,2017,Fourth Quarter,36,287,25.3,692,17.5,Natural Resources and Mining,48349,TX
Newton County,2017,Fourth Quarter,14,96,0,933,14.8,Natural Resources and Mining,48351,TX
Nolan County,2017,Fourth Quarter,47,279,16.3,1272,24.1,Natural Resources and Mining,48353,TX
Nueces County,2017,Fourth Quarter,287,3756,14.4,1636,3.9,Natural Resources and Mining,48355,TX
Ochiltree County,2017,Fourth Quarter,98,1553,11,1271,6.4,Natural Resources and Mining,48357,TX
Oldham County,2017,Fourth Quarter,25,116,,1027,,Natural Resources and Mining,48359,TX
Orange County,2017,Fourth Quarter,20,105,-1.9,1170,-3.1,Natural Resources and Mining,48361,TX
Palo Pinto County,2017,Fourth Quarter,37,788,26.7,1275,2.7,Natural Resources and Mining,48363,TX
Panola County,2017,Fourth Quarter,64,1003,5.8,1291,3.9,Natural Resources and Mining,48365,TX
Parker County,2017,Fourth Quarter,159,2064,12.2,1668,19.1,Natural Resources and Mining,48367,TX
Parmer County,2017,Fourth Quarter,108,1458,6.6,770,3.9,Natural Resources and Mining,48369,TX
Pecos County,2017,Fourth Quarter,69,781,24.8,1340,6.3,Natural Resources and Mining,48371,TX
Polk County,2017,Fourth Quarter,36,194,0,954,-19.4,Natural Resources and Mining,48373,TX
Potter County,2017,Fourth Quarter,103,690,6,1489,10.7,Natural Resources and Mining,48375,TX
