Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Sherman County,2017,Third Quarter,2,,,,,Manufacturing,48421,TX
Smith County,2017,Third Quarter,223,5337,-17,1098,-11.3,Manufacturing,48423,TX
Somervell County,2017,Third Quarter,11,154,43.9,739,12.8,Manufacturing,48425,TX
Starr County,2017,Third Quarter,9,50,-15.3,392,-6.4,Manufacturing,48427,TX
Stephens County,2017,Third Quarter,14,629,1.8,578,-2,Manufacturing,48429,TX
Sutton County,2017,Third Quarter,7,50,-5.7,2403,42.4,Manufacturing,48435,TX
Swisher County,2017,Third Quarter,7,105,23.5,609,-3.8,Manufacturing,48437,TX
Tarrant County,2017,Third Quarter,1764,82522,2.1,1364,-6.3,Manufacturing,48439,TX
Taylor County,2017,Third Quarter,107,2510,-1.5,826,-4.1,Manufacturing,48441,TX
Terry County,2017,Third Quarter,11,199,-7.9,897,1.9,Manufacturing,48445,TX
Throckmorton County,2017,Third Quarter,1,,,,,Manufacturing,48447,TX
Titus County,2017,Third Quarter,36,5658,0,747,-1.2,Manufacturing,48449,TX
Tom Green County,2017,Third Quarter,99,3234,-0.7,1019,-4.9,Manufacturing,48451,TX
Travis County,2017,Third Quarter,1050,38934,4.6,1682,-7.5,Manufacturing,48453,TX
Trinity County,2017,Third Quarter,6,150,,1214,,Manufacturing,48455,TX
Tyler County,2017,Third Quarter,12,121,-28.4,911,-6,Manufacturing,48457,TX
Upshur County,2017,Third Quarter,23,324,-13.4,869,5.7,Manufacturing,48459,TX
Uvalde County,2017,Third Quarter,25,420,-12.9,540,-11.2,Manufacturing,48463,TX
Val Verde County,2017,Third Quarter,35,1802,-5.5,652,-2,Manufacturing,48465,TX
Van Zandt County,2017,Third Quarter,47,909,1.7,952,1.1,Manufacturing,48467,TX
Victoria County,2017,Third Quarter,89,1874,-5.6,1401,-4.8,Manufacturing,48469,TX
Walker County,2017,Third Quarter,46,1119,12,1033,8.7,Manufacturing,48471,TX
Waller County,2017,Third Quarter,90,3348,-5.8,1092,-7.5,Manufacturing,48473,TX
Ward County,2017,Third Quarter,9,141,-3.4,1230,9.5,Manufacturing,48475,TX
Washington County,2017,Third Quarter,60,2403,3.1,935,-2.9,Manufacturing,48477,TX
Webb County,2017,Third Quarter,75,650,-9.7,676,0.6,Manufacturing,48479,TX
Wharton County,2017,Third Quarter,47,1574,-0.1,781,-3.8,Manufacturing,48481,TX
Wheeler County,2017,Third Quarter,3,8,14.3,1112,-36.3,Manufacturing,48483,TX
Wichita County,2017,Third Quarter,131,4754,5.8,1090,-1.4,Manufacturing,48485,TX
Wilbarger County,2017,Third Quarter,9,829,-8,938,-1.5,Manufacturing,48487,TX
Willacy County,2017,Third Quarter,5,41,64,826,35.6,Manufacturing,48489,TX
Williamson County,2017,Third Quarter,376,12324,1.6,1989,6.2,Manufacturing,48491,TX
Wilson County,2017,Third Quarter,36,529,32.6,1147,7.5,Manufacturing,48493,TX
Winkler County,2017,Third Quarter,3,,,,,Manufacturing,48495,TX
Wise County,2017,Third Quarter,87,1877,9,1020,-0.7,Manufacturing,48497,TX
Wood County,2017,Third Quarter,50,1291,2.1,854,-2.1,Manufacturing,48499,TX
Yoakum County,2017,Third Quarter,6,60,76.5,1525,0.3,Manufacturing,48501,TX
Young County,2017,Third Quarter,25,1173,0.8,947,-0.7,Manufacturing,48503,TX
Zapata County,2017,Third Quarter,6,33,3.1,1754,-6.9,Manufacturing,48505,TX
Zavala County,2017,Third Quarter,4,,,,,Manufacturing,48507,TX
 ,,,,,,,,,,
