Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Hale County,2017,Third Quarter,75,370,-7.5,685,5.1,Financial Activities,48189,TX
Hall County,2017,Third Quarter,6,43,-6.5,620,-2.8,Financial Activities,48191,TX
Hamilton County,2017,Third Quarter,12,62,3.3,827,-7.7,Financial Activities,48193,TX
Hansford County,2017,Third Quarter,13,121,0,817,-0.1,Financial Activities,48195,TX
Hardeman County,2017,Third Quarter,8,41,5.1,874,3.6,Financial Activities,48197,TX
Hardin County,2017,Third Quarter,87,287,-1,718,-3.6,Financial Activities,48199,TX
Harris County,2017,Third Quarter,12109,126256,1.8,1579,-0.9,Financial Activities,48201,TX
Harrison County,2017,Third Quarter,135,928,-6.9,986,7.3,Financial Activities,48203,TX
Hartley County,2017,Third Quarter,4,,,,,Financial Activities,48205,TX
Haskell County,2017,Third Quarter,9,47,-4.1,690,6.2,Financial Activities,48207,TX
Hays County,2017,Third Quarter,432,2617,8.6,881,-13.3,Financial Activities,48209,TX
Hemphill County,2017,Third Quarter,21,77,-22.2,1015,-14.6,Financial Activities,48211,TX
Henderson County,2017,Third Quarter,145,664,-1.2,729,-0.4,Financial Activities,48213,TX
Hidalgo County,2017,Third Quarter,1312,8546,-0.6,784,0.9,Financial Activities,48215,TX
Hill County,2017,Third Quarter,64,253,-4.2,805,5.4,Financial Activities,48217,TX
Hockley County,2017,Third Quarter,55,279,8.1,911,17.5,Financial Activities,48219,TX
Hood County,2017,Third Quarter,147,802,-13.3,1023,-20.9,Financial Activities,48221,TX
Hopkins County,2017,Third Quarter,83,602,2.2,855,-1.7,Financial Activities,48223,TX
Houston County,2017,Third Quarter,68,469,47,1679,9.7,Financial Activities,48225,TX
Howard County,2017,Third Quarter,91,430,-2.7,807,4.1,Financial Activities,48227,TX
Hudspeth County,2017,Third Quarter,3,7,,449,,Financial Activities,48229,TX
Hunt County,2017,Third Quarter,145,567,-21.4,870,-7.1,Financial Activities,48231,TX
Hutchinson County,2017,Third Quarter,38,209,-2.8,871,5.1,Financial Activities,48233,TX
Irion County,2017,Third Quarter,3,,,,,Financial Activities,48235,TX
Jack County,2017,Third Quarter,18,107,27.4,1078,12.9,Financial Activities,48237,TX
Jackson County,2017,Third Quarter,35,143,-5.3,766,4.1,Financial Activities,48239,TX
Jasper County,2017,Third Quarter,55,283,5.6,761,-4,Financial Activities,48241,TX
Jeff Davis County,2017,Third Quarter,5,36,9.1,691,-13.6,Financial Activities,48243,TX
Jefferson County,2017,Third Quarter,572,4582,2.6,995,-0.2,Financial Activities,48245,TX
Jim Hogg County,2017,Third Quarter,11,47,-6,542,-0.6,Financial Activities,48247,TX
Jim Wells County,2017,Third Quarter,92,673,-8.7,988,-4.2,Financial Activities,48249,TX
Johnson County,2017,Third Quarter,303,1309,1.5,1042,12.6,Financial Activities,48251,TX
Jones County,2017,Third Quarter,28,127,-9.3,931,-6.1,Financial Activities,48253,TX
Karnes County,2017,Third Quarter,26,136,3.8,1027,-3.3,Financial Activities,48255,TX
Kaufman County,2017,Third Quarter,161,886,0.5,1036,3,Financial Activities,48257,TX
Kendall County,2017,Third Quarter,151,1101,14.9,969,-2.9,Financial Activities,48259,TX
Kenedy County,2017,Third Quarter,1,,,,,Financial Activities,48261,TX
Kent County,2017,Third Quarter,2,,,,,Financial Activities,48263,TX
Kerr County,2017,Third Quarter,140,602,-5.6,953,-0.5,Financial Activities,48265,TX
Kimble County,2017,Third Quarter,11,54,-3.6,672,-57.3,Financial Activities,48267,TX
Kinney County,2017,Third Quarter,4,,,,,Financial Activities,48271,TX
Kleberg County,2017,Third Quarter,71,387,1,913,0,Financial Activities,48273,TX
Knox County,2017,Third Quarter,8,40,2.6,790,4.2,Financial Activities,48275,TX
Lamar County,2017,Third Quarter,114,772,-8,728,7.7,Financial Activities,48277,TX
Lamb County,2017,Third Quarter,26,123,0,781,3.3,Financial Activities,48279,TX
Lampasas County,2017,Third Quarter,37,161,12.6,862,-1.9,Financial Activities,48281,TX
La Salle County,2017,Third Quarter,8,77,175,983,56.8,Financial Activities,48283,TX
Lavaca County,2017,Third Quarter,35,185,-0.5,918,-7.7,Financial Activities,48285,TX
Lee County,2017,Third Quarter,40,299,5.3,1004,2,Financial Activities,48287,TX
Leon County,2017,Third Quarter,32,189,-12.9,1151,24.8,Financial Activities,48289,TX
Liberty County,2017,Third Quarter,110,539,4.7,936,-3.8,Financial Activities,48291,TX
Limestone County,2017,Third Quarter,41,276,6.6,674,-1.6,Financial Activities,48293,TX
Lipscomb County,2017,Third Quarter,5,37,-17.8,740,9.6,Financial Activities,48295,TX
Live Oak County,2017,Third Quarter,22,229,22.5,1276,18.8,Financial Activities,48297,TX
Llano County,2017,Third Quarter,62,278,-15.8,864,14.9,Financial Activities,48299,TX
Lubbock County,2017,Third Quarter,929,7694,2,1073,0.7,Financial Activities,48303,TX
Lynn County,2017,Third Quarter,19,96,41.2,813,22.8,Financial Activities,48305,TX
McCulloch County,2017,Third Quarter,20,112,10.9,750,6.8,Financial Activities,48307,TX
McLennan County,2017,Third Quarter,615,7124,9.4,1101,2.9,Financial Activities,48309,TX
McMullen County,2017,Third Quarter,7,31,0,1028,-6.5,Financial Activities,48311,TX
Madison County,2017,Third Quarter,26,106,-19.7,762,1.9,Financial Activities,48313,TX
Marion County,2017,Third Quarter,13,39,-4.9,891,-10.1,Financial Activities,48315,TX
Martin County,2017,Third Quarter,8,47,6.8,826,-5.6,Financial Activities,48317,TX
Mason County,2017,Third Quarter,11,53,-3.6,1269,16.6,Financial Activities,48319,TX
Matagorda County,2017,Third Quarter,65,328,4.1,846,1.2,Financial Activities,48321,TX
Maverick County,2017,Third Quarter,84,548,0.7,621,-4.2,Financial Activities,48323,TX
Medina County,2017,Third Quarter,66,384,0.5,794,0.9,Financial Activities,48325,TX
Menard County,2017,Third Quarter,3,17,-37,741,1.9,Financial Activities,48327,TX
Midland County,2017,Third Quarter,668,3761,8.5,1362,4.8,Financial Activities,48329,TX
Milam County,2017,Third Quarter,40,287,7.5,875,5.8,Financial Activities,48331,TX
Mills County,2017,Third Quarter,11,58,5.5,699,-8,Financial Activities,48333,TX
Mitchell County,2017,Third Quarter,6,48,-17.2,850,-2.4,Financial Activities,48335,TX
