Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Palo Pinto County,2017,Third Quarter,70,438,12,778,1.4,Construction,48363,TX
Panola County,2017,Third Quarter,51,1954,38.4,1179,-8.7,Construction,48365,TX
Parker County,2017,Third Quarter,367,2516,0.7,1043,3.9,Construction,48367,TX
Parmer County,2017,Third Quarter,24,,,,,Construction,48369,TX
Pecos County,2017,Third Quarter,32,269,-5.9,960,15.2,Construction,48371,TX
Polk County,2017,Third Quarter,88,507,17.4,909,-7.4,Construction,48373,TX
Potter County,2017,Third Quarter,360,3808,-0.5,902,-0.6,Construction,48375,TX
Presidio County,2017,Third Quarter,10,57,,1998,,Construction,48377,TX
Rains County,2017,Third Quarter,23,154,15.8,740,-1.5,Construction,48379,TX
Randall County,2017,Third Quarter,283,2394,9.3,991,2.8,Construction,48381,TX
Reagan County,2017,Third Quarter,12,78,-9.3,929,-0.2,Construction,48383,TX
Real County,2017,Third Quarter,8,29,-9.4,447,6.4,Construction,48385,TX
Red River County,2017,Third Quarter,10,122,-1.6,1220,-1,Construction,48387,TX
Reeves County,2017,Third Quarter,29,932,152.6,1043,-28.1,Construction,48389,TX
Refugio County,2017,Third Quarter,18,,,,,Construction,48391,TX
Roberts County,2017,Third Quarter,2,,,,,Construction,48393,TX
Robertson County,2017,Third Quarter,18,324,29.1,870,15.1,Construction,48395,TX
Rockwall County,2017,Third Quarter,259,1957,4.3,1092,-2.4,Construction,48397,TX
Runnels County,2017,Third Quarter,27,112,-21.1,859,18.3,Construction,48399,TX
Rusk County,2017,Third Quarter,71,769,-15.6,1028,-16.2,Construction,48401,TX
Sabine County,2017,Third Quarter,18,144,25.2,944,16.8,Construction,48403,TX
San Augustine County,2017,Third Quarter,9,118,-9.9,1180,-1,Construction,48405,TX
San Jacinto County,2017,Third Quarter,28,112,15.5,911,24.8,Construction,48407,TX
San Patricio County,2017,Third Quarter,95,4559,3,1231,-16,Construction,48409,TX
San Saba County,2017,Third Quarter,15,24,-22.6,538,-3.4,Construction,48411,TX
Schleicher County,2017,Third Quarter,7,165,15.4,1162,3.6,Construction,48413,TX
Scurry County,2017,Third Quarter,36,187,-52.7,884,-4,Construction,48415,TX
Shackelford County,2017,Third Quarter,8,39,34.5,983,-8.8,Construction,48417,TX
Shelby County,2017,Third Quarter,42,288,-3.4,911,7.8,Construction,48419,TX
Sherman County,2017,Third Quarter,7,,,,,Construction,48421,TX
Smith County,2017,Third Quarter,485,4221,0.5,871,0.3,Construction,48423,TX
Somervell County,2017,Third Quarter,18,167,38,883,-3.1,Construction,48425,TX
Starr County,2017,Third Quarter,24,125,-13.2,804,6.8,Construction,48427,TX
Stephens County,2017,Third Quarter,24,219,12.9,914,6.7,Construction,48429,TX
Sterling County,2017,Third Quarter,4,26,0,764,7.5,Construction,48431,TX
Stonewall County,2017,Third Quarter,10,59,22.9,898,-9,Construction,48433,TX
Sutton County,2017,Third Quarter,14,112,10.9,1177,1.2,Construction,48435,TX
Swisher County,2017,Third Quarter,14,39,21.9,703,0.9,Construction,48437,TX
Tarrant County,2017,Third Quarter,3228,50412,4.1,1141,-0.8,Construction,48439,TX
Taylor County,2017,Third Quarter,317,2774,-6.3,930,-6.7,Construction,48441,TX
Terrell County,2017,Third Quarter,3,9,-25,1136,-4,Construction,48443,TX
Terry County,2017,Third Quarter,13,56,-11.1,807,-4.6,Construction,48445,TX
Throckmorton County,2017,Third Quarter,1,,,,,Construction,48447,TX
Titus County,2017,Third Quarter,41,305,7.4,969,-2.6,Construction,48449,TX
Tom Green County,2017,Third Quarter,302,2319,5.6,871,4.9,Construction,48451,TX
Travis County,2017,Third Quarter,2613,38179,2.1,1197,0.2,Construction,48453,TX
Trinity County,2017,Third Quarter,14,61,-21.8,744,11.4,Construction,48455,TX
Tyler County,2017,Third Quarter,19,70,-13.6,916,-6.7,Construction,48457,TX
Upshur County,2017,Third Quarter,68,664,4.4,876,-1.2,Construction,48459,TX
Upton County,2017,Third Quarter,8,93,9.4,995,11.7,Construction,48461,TX
Uvalde County,2017,Third Quarter,51,299,9.1,717,4.4,Construction,48463,TX
Val Verde County,2017,Third Quarter,67,309,-3.4,685,-2.3,Construction,48465,TX
Van Zandt County,2017,Third Quarter,120,941,-11.6,814,-6.5,Construction,48467,TX
Victoria County,2017,Third Quarter,213,1964,-19.4,932,-23.6,Construction,48469,TX
Walker County,2017,Third Quarter,94,740,4.5,699,-11.5,Construction,48471,TX
Waller County,2017,Third Quarter,112,1019,5.6,1016,-9.8,Construction,48473,TX
Ward County,2017,Third Quarter,27,214,5.9,1815,18.6,Construction,48475,TX
Washington County,2017,Third Quarter,99,616,-0.5,865,-5.8,Construction,48477,TX
Webb County,2017,Third Quarter,255,1913,-4.9,677,4,Construction,48479,TX
Wharton County,2017,Third Quarter,100,769,17,934,23.5,Construction,48481,TX
Wheeler County,2017,Third Quarter,12,50,6.4,903,-7.9,Construction,48483,TX
Wichita County,2017,Third Quarter,231,1631,-9.4,834,-2.1,Construction,48485,TX
Wilbarger County,2017,Third Quarter,24,97,-4.9,576,-10.7,Construction,48487,TX
Willacy County,2017,Third Quarter,11,56,-8.2,522,1.2,Construction,48489,TX
Williamson County,2017,Third Quarter,1148,12725,12.5,1050,-1.4,Construction,48491,TX
Wilson County,2017,Third Quarter,123,736,0.3,760,-1.8,Construction,48493,TX
Winkler County,2017,Third Quarter,23,,,,,Construction,48495,TX
Wise County,2017,Third Quarter,170,1386,0.4,917,-1.6,Construction,48497,TX
Wood County,2017,Third Quarter,83,484,-1.8,894,8.4,Construction,48499,TX
Yoakum County,2017,Third Quarter,18,311,-9.3,1227,8.5,Construction,48501,TX
Young County,2017,Third Quarter,47,191,-10.7,892,5.9,Construction,48503,TX
Zapata County,2017,Third Quarter,8,124,-6.8,971,-12.4,Construction,48505,TX
Zavala County,2017,Third Quarter,11,,,,,Construction,48507,TX
 ,,,,,,,,,,
