Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Presidio County,2017,Fourth Quarter,9,,,,,Construction,48377,TX
Rains County,2017,Fourth Quarter,24,139,3.7,952,7.6,Construction,48379,TX
Randall County,2017,Fourth Quarter,288,2498,15.2,1137,-0.8,Construction,48381,TX
Reagan County,2017,Fourth Quarter,12,63,-14.9,882,-7.8,Construction,48383,TX
Real County,2017,Fourth Quarter,7,27,-18.2,456,6,Construction,48385,TX
Red River County,2017,Fourth Quarter,9,111,-37.6,1226,5.2,Construction,48387,TX
Reeves County,2017,Fourth Quarter,30,1024,186,1227,-9.8,Construction,48389,TX
Refugio County,2017,Fourth Quarter,18,,,,,Construction,48391,TX
Roberts County,2017,Fourth Quarter,2,,,,,Construction,48393,TX
Robertson County,2017,Fourth Quarter,19,390,51.8,881,14.9,Construction,48395,TX
Rockwall County,2017,Fourth Quarter,265,2011,7.3,1449,2.5,Construction,48397,TX
Runnels County,2017,Fourth Quarter,27,101,-16.5,736,-2.8,Construction,48399,TX
Rusk County,2017,Fourth Quarter,71,896,-7.2,1116,-7.5,Construction,48401,TX
Sabine County,2017,Fourth Quarter,16,221,90.5,899,7.8,Construction,48403,TX
San Augustine County,2017,Fourth Quarter,9,148,39.6,1931,30.8,Construction,48405,TX
San Jacinto County,2017,Fourth Quarter,29,101,-6.5,879,27.9,Construction,48407,TX
San Patricio County,2017,Fourth Quarter,97,5399,10.6,1300,-4.2,Construction,48409,TX
San Saba County,2017,Fourth Quarter,11,23,-25.8,484,-14,Construction,48411,TX
Schleicher County,2017,Fourth Quarter,7,160,,1001,,Construction,48413,TX
Scurry County,2017,Fourth Quarter,36,192,-50.6,935,5.6,Construction,48415,TX
Shackelford County,2017,Fourth Quarter,8,38,65.2,1447,-9.3,Construction,48417,TX
Shelby County,2017,Fourth Quarter,42,316,5.7,900,-9.1,Construction,48419,TX
Sherman County,2017,Fourth Quarter,7,,,,,Construction,48421,TX
Smith County,2017,Fourth Quarter,490,4188,2,993,4.2,Construction,48423,TX
Somervell County,2017,Fourth Quarter,18,178,43.5,1077,-3.8,Construction,48425,TX
Starr County,2017,Fourth Quarter,24,126,10.5,909,8.2,Construction,48427,TX
Stephens County,2017,Fourth Quarter,25,223,24.6,1084,13.4,Construction,48429,TX
Sterling County,2017,Fourth Quarter,4,24,-17.2,979,37.9,Construction,48431,TX
Stonewall County,2017,Fourth Quarter,10,39,-7.1,848,-5.3,Construction,48433,TX
Sutton County,2017,Fourth Quarter,13,121,17.5,1169,7.6,Construction,48435,TX
Swisher County,2017,Fourth Quarter,15,40,25,763,-12.1,Construction,48437,TX
Tarrant County,2017,Fourth Quarter,3252,50186,4.4,1338,7.6,Construction,48439,TX
Taylor County,2017,Fourth Quarter,326,2910,-3.6,1113,2.2,Construction,48441,TX
Terrell County,2017,Fourth Quarter,3,4,-20,1090,-32.1,Construction,48443,TX
Terry County,2017,Fourth Quarter,13,62,-3.1,755,-9,Construction,48445,TX
Throckmorton County,2017,Fourth Quarter,1,,,,,Construction,48447,TX
Titus County,2017,Fourth Quarter,41,283,2.2,1022,13.4,Construction,48449,TX
Tom Green County,2017,Fourth Quarter,303,2322,9.9,961,1.2,Construction,48451,TX
Travis County,2017,Fourth Quarter,2651,37950,1.5,1323,3.2,Construction,48453,TX
Trinity County,2017,Fourth Quarter,15,66,-24.1,754,10.1,Construction,48455,TX
Tyler County,2017,Fourth Quarter,19,66,-21.4,909,-4.1,Construction,48457,TX
Upshur County,2017,Fourth Quarter,70,599,-3.1,1006,-7.4,Construction,48459,TX
Upton County,2017,Fourth Quarter,8,110,13.4,1103,30.4,Construction,48461,TX
Uvalde County,2017,Fourth Quarter,50,309,4.4,931,-3.7,Construction,48463,TX
Val Verde County,2017,Fourth Quarter,68,303,-5.9,698,0.6,Construction,48465,TX
Van Zandt County,2017,Fourth Quarter,121,1017,-9.4,878,0.3,Construction,48467,TX
Victoria County,2017,Fourth Quarter,212,1868,-17.6,1039,-20.9,Construction,48469,TX
Walker County,2017,Fourth Quarter,96,758,7.2,771,-7.4,Construction,48471,TX
Waller County,2017,Fourth Quarter,113,1055,1.3,1309,12.4,Construction,48473,TX
Ward County,2017,Fourth Quarter,28,247,29.3,1793,8.2,Construction,48475,TX
Washington County,2017,Fourth Quarter,101,518,-1.9,990,2.1,Construction,48477,TX
Webb County,2017,Fourth Quarter,259,1917,-5.6,705,1.1,Construction,48479,TX
Wharton County,2017,Fourth Quarter,100,699,14,885,5.1,Construction,48481,TX
Wheeler County,2017,Fourth Quarter,10,56,,1059,,Construction,48483,TX
Wichita County,2017,Fourth Quarter,235,1695,-3,945,1.5,Construction,48485,TX
Wilbarger County,2017,Fourth Quarter,26,99,-25.6,550,-51.2,Construction,48487,TX
Willacy County,2017,Fourth Quarter,11,50,-37.5,605,-9.2,Construction,48489,TX
Williamson County,2017,Fourth Quarter,1149,12726,8.3,1143,3.5,Construction,48491,TX
Wilson County,2017,Fourth Quarter,125,769,9.5,833,-1.8,Construction,48493,TX
Winkler County,2017,Fourth Quarter,27,,,,,Construction,48495,TX
Wise County,2017,Fourth Quarter,178,1427,7.3,1065,7.5,Construction,48497,TX
Wood County,2017,Fourth Quarter,84,484,0.6,1005,12.4,Construction,48499,TX
Yoakum County,2017,Fourth Quarter,19,295,-15.5,1259,9.9,Construction,48501,TX
Young County,2017,Fourth Quarter,46,201,-4.7,925,20.3,Construction,48503,TX
Zapata County,2017,Fourth Quarter,9,136,5.4,928,-7.9,Construction,48505,TX
Zavala County,2017,Fourth Quarter,11,,,,,Construction,48507,TX
 ,,,,,,,,,,
