Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Gillespie County,2017,Fourth Quarter,148,1962,3.8,465,1.8,Leisure and Hospitality,48171,TX
Glasscock County,2017,Fourth Quarter,1,,,,,Leisure and Hospitality,48173,TX
Goliad County,2017,Fourth Quarter,18,185,5.1,288,4.3,Leisure and Hospitality,48175,TX
Gonzales County,2017,Fourth Quarter,42,423,-2.8,311,6.9,Leisure and Hospitality,48177,TX
Gray County,2017,Fourth Quarter,44,665,6.9,313,3.6,Leisure and Hospitality,48179,TX
Grayson County,2017,Fourth Quarter,248,5006,-1.1,337,3.4,Leisure and Hospitality,48181,TX
Gregg County,2017,Fourth Quarter,383,7001,-3.1,312,4.3,Leisure and Hospitality,48183,TX
Grimes County,2017,Fourth Quarter,47,400,-11.3,398,12.1,Leisure and Hospitality,48185,TX
Guadalupe County,2017,Fourth Quarter,230,4103,2.1,342,2.4,Leisure and Hospitality,48187,TX
Hale County,2017,Fourth Quarter,66,1108,6.4,291,0.3,Leisure and Hospitality,48189,TX
Hall County,2017,Fourth Quarter,7,64,48.8,203,-3.3,Leisure and Hospitality,48191,TX
Hamilton County,2017,Fourth Quarter,21,253,4.1,303,18.4,Leisure and Hospitality,48193,TX
Hansford County,2017,Fourth Quarter,9,63,0,249,-8.8,Leisure and Hospitality,48195,TX
Hardeman County,2017,Fourth Quarter,8,89,-26.4,197,1.5,Leisure and Hospitality,48197,TX
Hardin County,2017,Fourth Quarter,95,1627,5.8,281,1.8,Leisure and Hospitality,48199,TX
Harris County,2017,Fourth Quarter,10180,229147,1.2,490,4.3,Leisure and Hospitality,48201,TX
Harrison County,2017,Fourth Quarter,109,1747,12.9,295,-0.7,Leisure and Hospitality,48203,TX
Hartley County,2017,Fourth Quarter,5,104,-2.8,327,31.3,Leisure and Hospitality,48205,TX
Haskell County,2017,Fourth Quarter,13,91,-19.5,222,-6.7,Leisure and Hospitality,48207,TX
Hays County,2017,Fourth Quarter,472,9665,11,355,0,Leisure and Hospitality,48209,TX
Hemphill County,2017,Fourth Quarter,10,75,1.4,350,-0.6,Leisure and Hospitality,48211,TX
Henderson County,2017,Fourth Quarter,151,2073,-1.5,283,6,Leisure and Hospitality,48213,TX
Hidalgo County,2017,Fourth Quarter,1180,24613,2.7,298,1,Leisure and Hospitality,48215,TX
Hill County,2017,Fourth Quarter,77,1024,3.3,280,0,Leisure and Hospitality,48217,TX
Hockley County,2017,Fourth Quarter,40,632,16.8,293,-4.6,Leisure and Hospitality,48219,TX
Hood County,2017,Fourth Quarter,132,2122,2.2,370,1.9,Leisure and Hospitality,48221,TX
Hopkins County,2017,Fourth Quarter,71,1357,10.9,312,-9.3,Leisure and Hospitality,48223,TX
Houston County,2017,Fourth Quarter,58,566,-14.8,277,3.4,Leisure and Hospitality,48225,TX
Howard County,2017,Fourth Quarter,104,1354,12.2,345,3.6,Leisure and Hospitality,48227,TX
Hudspeth County,2017,Fourth Quarter,5,19,0,486,3.2,Leisure and Hospitality,48229,TX
Hunt County,2017,Fourth Quarter,162,2976,9.9,331,4.1,Leisure and Hospitality,48231,TX
Hutchinson County,2017,Fourth Quarter,54,695,-2.1,265,-10.2,Leisure and Hospitality,48233,TX
Irion County,2017,Fourth Quarter,3,,,,,Leisure and Hospitality,48235,TX
Jack County,2017,Fourth Quarter,18,183,-10.7,302,9,Leisure and Hospitality,48237,TX
Jackson County,2017,Fourth Quarter,24,314,7.9,267,-1.1,Leisure and Hospitality,48239,TX
Jasper County,2017,Fourth Quarter,61,933,5.7,322,5.6,Leisure and Hospitality,48241,TX
Jeff Davis County,2017,Fourth Quarter,15,204,0,356,7.9,Leisure and Hospitality,48243,TX
Jefferson County,2017,Fourth Quarter,538,11561,-0.7,358,2.6,Leisure and Hospitality,48245,TX
Jim Hogg County,2017,Fourth Quarter,14,71,12.7,336,-12.3,Leisure and Hospitality,48247,TX
Jim Wells County,2017,Fourth Quarter,83,1589,11.4,257,5.3,Leisure and Hospitality,48249,TX
Johnson County,2017,Fourth Quarter,279,4690,2.7,310,6.2,Leisure and Hospitality,48251,TX
Jones County,2017,Fourth Quarter,25,172,17,228,-2.1,Leisure and Hospitality,48253,TX
Karnes County,2017,Fourth Quarter,52,550,9.6,313,6.1,Leisure and Hospitality,48255,TX
Kaufman County,2017,Fourth Quarter,199,3364,5.6,284,1.1,Leisure and Hospitality,48257,TX
Kendall County,2017,Fourth Quarter,128,1906,5.5,429,9.2,Leisure and Hospitality,48259,TX
Kenedy County,2017,Fourth Quarter,4,14,-53.3,1085,42.4,Leisure and Hospitality,48261,TX
Kent County,2017,Fourth Quarter,2,,,,,Leisure and Hospitality,48263,TX
Kerr County,2017,Fourth Quarter,154,2381,4.4,479,-2.8,Leisure and Hospitality,48265,TX
Kimble County,2017,Fourth Quarter,28,283,8,395,13.5,Leisure and Hospitality,48267,TX
Kinney County,2017,Fourth Quarter,8,23,0,225,0,Leisure and Hospitality,48271,TX
Kleberg County,2017,Fourth Quarter,76,1501,1.2,283,-1,Leisure and Hospitality,48273,TX
Knox County,2017,Fourth Quarter,13,62,51.2,262,22.4,Leisure and Hospitality,48275,TX
Lamar County,2017,Fourth Quarter,120,1921,-2.6,304,3.8,Leisure and Hospitality,48277,TX
Lamb County,2017,Fourth Quarter,16,205,10.8,221,8.3,Leisure and Hospitality,48279,TX
Lampasas County,2017,Fourth Quarter,34,437,-5.6,295,5.4,Leisure and Hospitality,48281,TX
La Salle County,2017,Fourth Quarter,32,340,17.2,337,5.3,Leisure and Hospitality,48283,TX
