Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Travis County,2017,Fourth Quarter,3737,91294,2.5,503,5.2,Leisure and Hospitality,48453,TX
Trinity County,2017,Fourth Quarter,23,396,-2.5,399,8.4,Leisure and Hospitality,48455,TX
Tyler County,2017,Fourth Quarter,24,247,2.1,280,19.7,Leisure and Hospitality,48457,TX
Upshur County,2017,Fourth Quarter,49,772,14,260,-4.4,Leisure and Hospitality,48459,TX
Upton County,2017,Fourth Quarter,8,31,29.2,190,-15.2,Leisure and Hospitality,48461,TX
Uvalde County,2017,Fourth Quarter,74,1026,1.7,340,13.7,Leisure and Hospitality,48463,TX
Val Verde County,2017,Fourth Quarter,93,1812,4,290,-0.3,Leisure and Hospitality,48465,TX
Van Zandt County,2017,Fourth Quarter,87,1516,0.1,324,-0.3,Leisure and Hospitality,48467,TX
Victoria County,2017,Fourth Quarter,241,4255,0.1,349,3.9,Leisure and Hospitality,48469,TX
Walker County,2017,Fourth Quarter,118,2297,2,307,7,Leisure and Hospitality,48471,TX
Waller County,2017,Fourth Quarter,55,1227,3.8,360,2,Leisure and Hospitality,48473,TX
Ward County,2017,Fourth Quarter,39,394,9.7,353,16.9,Leisure and Hospitality,48475,TX
Washington County,2017,Fourth Quarter,90,1340,-0.6,318,5.6,Leisure and Hospitality,48477,TX
Webb County,2017,Fourth Quarter,504,11280,3,309,1,Leisure and Hospitality,48479,TX
Wharton County,2017,Fourth Quarter,90,1212,-9.5,295,5.4,Leisure and Hospitality,48481,TX
Wheeler County,2017,Fourth Quarter,27,301,11.1,299,4.5,Leisure and Hospitality,48483,TX
Wichita County,2017,Fourth Quarter,318,6527,2.2,295,2.1,Leisure and Hospitality,48485,TX
Wilbarger County,2017,Fourth Quarter,29,395,-14.7,286,10,Leisure and Hospitality,48487,TX
Willacy County,2017,Fourth Quarter,35,416,13.7,290,15.1,Leisure and Hospitality,48489,TX
Williamson County,2017,Fourth Quarter,962,21414,4.6,382,3.8,Leisure and Hospitality,48491,TX
Wilson County,2017,Fourth Quarter,66,659,6.3,331,13.7,Leisure and Hospitality,48493,TX
Winkler County,2017,Fourth Quarter,14,127,11.4,301,4.5,Leisure and Hospitality,48495,TX
Wise County,2017,Fourth Quarter,107,1734,0.8,317,7.1,Leisure and Hospitality,48497,TX
Wood County,2017,Fourth Quarter,88,1086,6.3,332,-2.1,Leisure and Hospitality,48499,TX
Yoakum County,2017,Fourth Quarter,22,186,2.2,259,-2.6,Leisure and Hospitality,48501,TX
Young County,2017,Fourth Quarter,46,577,8.1,291,-5.8,Leisure and Hospitality,48503,TX
Zapata County,2017,Fourth Quarter,24,218,11.2,242,-6.9,Leisure and Hospitality,48505,TX
Zavala County,2017,Fourth Quarter,14,174,1.8,243,-4,Leisure and Hospitality,48507,TX
 ,,,,,,,,,,
