Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Hays County,2017,Third Quarter,467,9631,8.2,331,0,Leisure and Hospitality,48209,TX
Hemphill County,2017,Third Quarter,10,80,5.3,335,-10.2,Leisure and Hospitality,48211,TX
Henderson County,2017,Third Quarter,148,2107,-3.5,286,7.9,Leisure and Hospitality,48213,TX
Hidalgo County,2017,Third Quarter,1185,24789,2.5,290,-3.7,Leisure and Hospitality,48215,TX
Hill County,2017,Third Quarter,78,1097,14.5,270,-7.2,Leisure and Hospitality,48217,TX
Hockley County,2017,Third Quarter,40,600,13.2,298,1,Leisure and Hospitality,48219,TX
Hood County,2017,Third Quarter,133,2219,6.7,332,1.8,Leisure and Hospitality,48221,TX
Hopkins County,2017,Third Quarter,70,1314,8,309,-9.1,Leisure and Hospitality,48223,TX
Houston County,2017,Third Quarter,57,587,-18.1,268,3.1,Leisure and Hospitality,48225,TX
Howard County,2017,Third Quarter,103,1356,3.3,318,0.6,Leisure and Hospitality,48227,TX
Hudspeth County,2017,Third Quarter,5,17,-19,511,3,Leisure and Hospitality,48229,TX
Hunt County,2017,Third Quarter,157,2974,12.9,309,-1.3,Leisure and Hospitality,48231,TX
Hutchinson County,2017,Third Quarter,54,725,-5.7,255,-6.6,Leisure and Hospitality,48233,TX
Irion County,2017,Third Quarter,3,9,,234,,Leisure and Hospitality,48235,TX
Jack County,2017,Third Quarter,18,189,-10.4,291,5.8,Leisure and Hospitality,48237,TX
Jackson County,2017,Third Quarter,24,321,8.4,255,-7.9,Leisure and Hospitality,48239,TX
Jasper County,2017,Third Quarter,61,972,6.5,297,-2.9,Leisure and Hospitality,48241,TX
Jeff Davis County,2017,Third Quarter,15,205,-1.9,389,3.2,Leisure and Hospitality,48243,TX
Jefferson County,2017,Third Quarter,540,11078,-3.9,323,-5.6,Leisure and Hospitality,48245,TX
Jim Hogg County,2017,Third Quarter,14,70,9.4,283,-6.3,Leisure and Hospitality,48247,TX
Jim Wells County,2017,Third Quarter,86,1636,12.6,270,3.8,Leisure and Hospitality,48249,TX
Johnson County,2017,Third Quarter,280,4851,4.9,299,2.7,Leisure and Hospitality,48251,TX
Jones County,2017,Third Quarter,26,182,20.5,228,-3,Leisure and Hospitality,48253,TX
Karnes County,2017,Third Quarter,51,596,12,284,-2.1,Leisure and Hospitality,48255,TX
Kaufman County,2017,Third Quarter,192,3406,3,286,2.1,Leisure and Hospitality,48257,TX
Kendall County,2017,Third Quarter,123,1920,11.2,386,-4.5,Leisure and Hospitality,48259,TX
Kenedy County,2017,Third Quarter,4,14,-53.3,1090,44.4,Leisure and Hospitality,48261,TX
Kent County,2017,Third Quarter,2,,,,,Leisure and Hospitality,48263,TX
Kerr County,2017,Third Quarter,154,2392,2.3,453,-1.5,Leisure and Hospitality,48265,TX
Kimble County,2017,Third Quarter,29,283,6,340,1.8,Leisure and Hospitality,48267,TX
Kinney County,2017,Third Quarter,8,33,32,203,-9.8,Leisure and Hospitality,48271,TX
Kleberg County,2017,Third Quarter,75,1463,-4.4,290,-2,Leisure and Hospitality,48273,TX
Knox County,2017,Third Quarter,13,64,68.4,282,40.3,Leisure and Hospitality,48275,TX
Lamar County,2017,Third Quarter,120,1908,-7.2,294,3.2,Leisure and Hospitality,48277,TX
Lamb County,2017,Third Quarter,16,184,8.2,236,1.3,Leisure and Hospitality,48279,TX
Lampasas County,2017,Third Quarter,34,482,12.1,281,4.5,Leisure and Hospitality,48281,TX
La Salle County,2017,Third Quarter,31,333,14.8,330,8.6,Leisure and Hospitality,48283,TX
Lavaca County,2017,Third Quarter,36,344,5.5,306,-5,Leisure and Hospitality,48285,TX
Lee County,2017,Third Quarter,31,357,-5.3,331,12.6,Leisure and Hospitality,48287,TX
Leon County,2017,Third Quarter,36,458,-1.3,326,-2.7,Leisure and Hospitality,48289,TX
Liberty County,2017,Third Quarter,89,1401,-5.9,332,-4.6,Leisure and Hospitality,48291,TX
Limestone County,2017,Third Quarter,43,466,7.1,267,-2.9,Leisure and Hospitality,48293,TX
Lipscomb County,2017,Third Quarter,3,10,,266,,Leisure and Hospitality,48295,TX
Live Oak County,2017,Third Quarter,43,405,4.4,290,9,Leisure and Hospitality,48297,TX
Llano County,2017,Third Quarter,50,1257,-4.3,507,-3.1,Leisure and Hospitality,48299,TX
Loving County,2017,Third Quarter,2,,,,,Leisure and Hospitality,48301,TX
Lubbock County,2017,Third Quarter,754,19531,6,321,-2.4,Leisure and Hospitality,48303,TX
Lynn County,2017,Third Quarter,10,46,142.1,1021,197.7,Leisure and Hospitality,48305,TX
McCulloch County,2017,Third Quarter,24,263,-8.7,299,2.7,Leisure and Hospitality,48307,TX
McLennan County,2017,Third Quarter,569,12112,4.5,308,-1,Leisure and Hospitality,48309,TX
McMullen County,2017,Third Quarter,3,,,,,Leisure and Hospitality,48311,TX
Madison County,2017,Third Quarter,34,576,-3.8,243,-0.4,Leisure and Hospitality,48313,TX
Marion County,2017,Third Quarter,24,352,-4.9,250,-8.1,Leisure and Hospitality,48315,TX
Martin County,2017,Third Quarter,8,76,2.7,329,-1.5,Leisure and Hospitality,48317,TX
Mason County,2017,Third Quarter,17,131,-12.1,277,1.1,Leisure and Hospitality,48319,TX
Matagorda County,2017,Third Quarter,102,1163,2,311,-4,Leisure and Hospitality,48321,TX
Maverick County,2017,Third Quarter,83,1571,6,288,-0.3,Leisure and Hospitality,48323,TX
Medina County,2017,Third Quarter,79,1110,12.6,296,-1.3,Leisure and Hospitality,48325,TX
Menard County,2017,Third Quarter,6,33,17.9,308,47.4,Leisure and Hospitality,48327,TX
Midland County,2017,Third Quarter,378,9485,6.1,404,2.5,Leisure and Hospitality,48329,TX
Milam County,2017,Third Quarter,43,432,-5.7,238,1.3,Leisure and Hospitality,48331,TX
Mills County,2017,Third Quarter,10,78,30,361,26.7,Leisure and Hospitality,48333,TX
Mitchell County,2017,Third Quarter,16,149,16.4,254,6.7,Leisure and Hospitality,48335,TX
Montague County,2017,Third Quarter,34,379,-3.6,311,4.4,Leisure and Hospitality,48337,TX
Montgomery County,2017,Third Quarter,938,23429,3.9,379,-2.6,Leisure and Hospitality,48339,TX
Moore County,2017,Third Quarter,45,665,-6.1,284,4.4,Leisure and Hospitality,48341,TX
Morris County,2017,Third Quarter,14,125,2.5,225,-3,Leisure and Hospitality,48343,TX
Motley County,2017,Third Quarter,5,26,-13.3,249,-7.1,Leisure and Hospitality,48345,TX
