Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Hockley County,2017,Third Quarter,190,2773,16.1,1517,7.7,Natural Resources and Mining,48219,TX
Hood County,2017,Third Quarter,74,1419,4,1353,-0.4,Natural Resources and Mining,48221,TX
Hopkins County,2017,Third Quarter,36,281,-12.2,923,-14.3,Natural Resources and Mining,48223,TX
Houston County,2017,Third Quarter,42,194,-17.4,1037,-60.1,Natural Resources and Mining,48225,TX
Howard County,2017,Third Quarter,137,1169,25.7,1253,11,Natural Resources and Mining,48227,TX
Hudspeth County,2017,Third Quarter,20,153,8.5,618,-0.5,Natural Resources and Mining,48229,TX
Hunt County,2017,Third Quarter,27,153,48.5,771,-2.7,Natural Resources and Mining,48231,TX
Hutchinson County,2017,Third Quarter,69,1415,-1.4,1814,-0.5,Natural Resources and Mining,48233,TX
Irion County,2017,Third Quarter,22,395,-44.2,1497,-5.7,Natural Resources and Mining,48235,TX
Jack County,2017,Third Quarter,42,809,2.9,1363,1.9,Natural Resources and Mining,48237,TX
Jackson County,2017,Third Quarter,77,,,,,Natural Resources and Mining,48239,TX
Jasper County,2017,Third Quarter,35,164,1.9,927,-9.2,Natural Resources and Mining,48241,TX
Jeff Davis County,2017,Third Quarter,10,207,-30.8,705,11.7,Natural Resources and Mining,48243,TX
Jefferson County,2017,Third Quarter,83,554,-30.2,1330,-6.9,Natural Resources and Mining,48245,TX
Jim Hogg County,2017,Third Quarter,21,105,-9.5,1174,14.1,Natural Resources and Mining,48247,TX
Jim Wells County,2017,Third Quarter,108,3118,38.3,1617,3.7,Natural Resources and Mining,48249,TX
Johnson County,2017,Third Quarter,76,1625,67.9,1237,1.6,Natural Resources and Mining,48251,TX
Jones County,2017,Third Quarter,44,247,-5.4,728,4.4,Natural Resources and Mining,48253,TX
Karnes County,2017,Third Quarter,50,757,-21.1,1227,-31.3,Natural Resources and Mining,48255,TX
Kaufman County,2017,Third Quarter,28,94,5.6,611,-16.4,Natural Resources and Mining,48257,TX
Kendall County,2017,Third Quarter,51,278,18.8,1362,-1.6,Natural Resources and Mining,48259,TX
Kenedy County,2017,Third Quarter,5,,,,,Natural Resources and Mining,48261,TX
Kent County,2017,Third Quarter,5,,,,,Natural Resources and Mining,48263,TX
Kerr County,2017,Third Quarter,46,169,-1.2,725,-7.1,Natural Resources and Mining,48265,TX
Kimble County,2017,Third Quarter,13,35,-7.9,495,4.7,Natural Resources and Mining,48267,TX
King County,2017,Third Quarter,5,,,,,Natural Resources and Mining,48269,TX
Kinney County,2017,Third Quarter,12,24,20,505,-9.8,Natural Resources and Mining,48271,TX
Kleberg County,2017,Third Quarter,26,493,-3.9,826,-4.9,Natural Resources and Mining,48273,TX
Knox County,2017,Third Quarter,38,177,-29.2,1683,38.9,Natural Resources and Mining,48275,TX
Lamar County,2017,Third Quarter,22,205,4.1,790,1.4,Natural Resources and Mining,48277,TX
Lamb County,2017,Third Quarter,186,968,-3.7,620,4.9,Natural Resources and Mining,48279,TX
Lampasas County,2017,Third Quarter,18,59,-11.9,771,-3.3,Natural Resources and Mining,48281,TX
La Salle County,2017,Third Quarter,46,1318,3.4,1709,2.7,Natural Resources and Mining,48283,TX
Lavaca County,2017,Third Quarter,40,320,33.9,842,0,Natural Resources and Mining,48285,TX
Lee County,2017,Third Quarter,46,662,15.5,866,4.3,Natural Resources and Mining,48287,TX
Leon County,2017,Third Quarter,41,466,-32.8,1277,-8.8,Natural Resources and Mining,48289,TX
Liberty County,2017,Third Quarter,73,824,-10.7,1116,-7.4,Natural Resources and Mining,48291,TX
Limestone County,2017,Third Quarter,32,387,24,1413,-25.3,Natural Resources and Mining,48293,TX
Lipscomb County,2017,Third Quarter,27,199,12.4,861,8.8,Natural Resources and Mining,48295,TX
Live Oak County,2017,Third Quarter,49,757,49.3,1216,-6.8,Natural Resources and Mining,48297,TX
Llano County,2017,Third Quarter,24,66,-5.7,567,-4.2,Natural Resources and Mining,48299,TX
Loving County,2017,Third Quarter,4,,,,,Natural Resources and Mining,48301,TX
Lubbock County,2017,Third Quarter,269,1348,4.3,947,5.9,Natural Resources and Mining,48303,TX
Lynn County,2017,Third Quarter,94,356,5,812,4,Natural Resources and Mining,48305,TX
McCulloch County,2017,Third Quarter,39,486,14.4,1017,-4.5,Natural Resources and Mining,48307,TX
McLennan County,2017,Third Quarter,68,301,-2.3,751,0.4,Natural Resources and Mining,48309,TX
McMullen County,2017,Third Quarter,26,,,,,Natural Resources and Mining,48311,TX
Madison County,2017,Third Quarter,29,729,-15.5,737,12.5,Natural Resources and Mining,48313,TX
Marion County,2017,Third Quarter,3,9,,649,,Natural Resources and Mining,48315,TX
Martin County,2017,Third Quarter,78,,,,,Natural Resources and Mining,48317,TX
